date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:32	160768/160768	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23964-27400-57e082c158800-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:32	160768/160768	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23964-27400-57e082c158800-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900d41d.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:33	59604/59604	---MC-	200	added ('OK')	font/woff2	etag:W/%221d23968-e8d4-57e082c8057c0-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900.woff2	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:33	76632/76632	---MC-	200	added ('OK')	font/woff	etag:W/%221d23969-12b58-57e082c8057c0-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900.woff	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:34	160548/160548	---MCZ	200	added ('OK')	font/ttf	etag:W/%221d23960-27324-57e082c529100-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900.ttf	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:34	6618/6618	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2016:51:25%20GMT	https://rulko.ca/Portal/login.php	C:/My%20Web%20Sites/TheoRulko/rulko.ca/Portal/login.html	(from https://rulko.ca/Portal/)
00:51:35	592839/592839	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d23966-90bc7-57e082c434ec0-br%22	https://rulko.ca/assets/icons/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-solid-900.svg	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:35	2458/2458	---MCZ	200	added ('OK')	text/css	etag:W/%221d23943-99a-57e081e9d0b80-br%22	https://rulko.ca/assets/flickity.css	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/flickity.css	(from https://rulko.ca/Portfolio/)
00:51:35	1360/1360	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d2394e-550-5cd8a500159c0-br%22	https://rulko.ca/assets/icons/edge.svg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/edge.svg	(from https://rulko.ca/Portfolio/)
00:51:35	36336/36336	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2017:33:47%20GMT	https://rulko.ca/Portfolio/?s=y	C:/My%20Web%20Sites/TheoRulko/rulko.ca/Portfolio/index3c6c.html	(from https://rulko.ca/Portfolio/)
00:51:36	19201/19201	---M--	200	added ('OK')	image/png	etag:%221d23986-4b01-57e081f72ab00%22	https://rulko.ca/assets/img/iphone.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/iphone.png	(from https://rulko.ca/Portfolio/)
00:51:37	204110/204110	---M--	200	added ('OK')	image/jpeg	etag:%221d23989-31d4e-5a03b990f88c0%22	https://rulko.ca/assets/img/masa-mobile.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/masa-mobile.jpg	(from https://rulko.ca/Portfolio/)
00:51:37	55243/55243	---MCZ	200	added ('OK')	text/javascript	etag:W/%221d23950-d7cb-57e081eac4dc0-br%22	https://rulko.ca/assets/flickity.pkgd.min.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/flickity.pkgd.min.js	(from https://rulko.ca/Portfolio/)
00:51:37	136430/136430	---M--	200	added ('OK')	image/jpeg	etag:%221d2399b-214ee-57e0820761140%22	https://rulko.ca/assets/img/tesson.ca-mobile.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/tesson.ca-mobile.jpg	(from https://rulko.ca/Portfolio/)
00:51:38	4622/4622	---MCZ	200	added ('OK')	text/javascript	etag:W/%221d2394d-120e-57e081e9d0b80-br%22	https://rulko.ca/assets/flickity-fullscreen.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/flickity-fullscreen.js	(from https://rulko.ca/Portfolio/)
00:51:38	7812/7812	---MCZ	200	added ('OK')	text/javascript	etag:W/%221d239c9-1e84-5a03b990f88c0-br%22	https://rulko.ca/assets/portfolio.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/portfolio.js	(from https://rulko.ca/Portfolio/)
00:51:39	5022/5022	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-139e%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.min.js	C:/My%20Web%20Sites/TheoRulko/cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.min.js	(from https://rulko.ca/Portfolio/)
00:51:40	6618/6618	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2016:51:30%20GMT	https://rulko.ca/Portal/login.php?s=y	C:/My%20Web%20Sites/TheoRulko/rulko.ca/Portal/login3c6c.html	(from https://rulko.ca/Portal/login.php)
